paid_services,salary,debt_firms,debt_fiz,trade_turnover,money_income,inflation,fm_changes_volume,fm_changes_costs,fm_changes_demand,fm_volume_exp,fm_demand_exp,fm_price_exp,Date,Brent,MIACR,Infl_exp,M2,gov_debt,obligates,unemployment
1877350.0,19397.1,43127,36613,128990.0,16206.80526280706,103.28,-40.0,60.0,-26.3,23.8,16.3,18.8,2015-01-31,47.76,16.964666666666666,18.072327044025158,31615.7,7241.169,14.117272727272727,7.18413491057078
1917773.4,19455.5,42893,36131,128990.0,16206.80526280706,103.42,13.7,50.0,-8.8,15.0,11.3,6.3,2015-02-28,58.1,15.116315789473683,15.659763313609467,31033.7,7240.896,13.0695,7.18413491057078
1987038.4,19698.9,42470,35438,128990.0,16206.80526280706,102.5,11.8,30.0,5.0,22.5,18.8,5.0,2015-03-31,55.89,14.902857142857142,13.967980295566502,31225.0,7159.78,12.032727272727273,7.18413491057078
2077237.7,19719.5,42196,34852,128990.0,16206.80526280706,101.6,-5.3,40.0,3.8,22.5,20.0,2.5,2015-04-30,59.52,14.357727272727272,14.32905982905983,31028.8,6986.477,10.783181818181818,7.18413491057078
2098144.0,21358.4,42094,34446,128990.0,16206.80526280706,100.63,22.0,26.3,16.3,40.0,33.8,2.5,2015-05-31,64.08,12.828333333333333,14.994845360824742,31696.9,7100.311,10.567142857142857,7.18413491057078
2134254.1,21489.8,41926,34109,128990.0,16206.80526280706,100.21,32.8,31.3,17.5,31.3,23.8,2.5,2015-06-30,61.48,12.503333333333334,13.9452,31820.4,7160.382,10.290909090909091,7.18413491057078
2178060.9,21178.9,39686,33954,128990.0,16206.80526280706,100.33,7.9,37.5,5.0,13.8,7.5,3.8,2015-07-31,56.56,11.524347826086956,14.76112759644,31936.3,7041.289,10.371739130434783,7.18413491057078
2218796.8,19785.9,39336,33962,128990.0,16206.80526280706,101.04,-3.4,25.0,-5.0,10.0,2.5,6.3,2015-08-31,46.52,10.858095238095238,16.007082152974505,32072.5,7171.129,10.981904761904762,7.18413491057078
2284674.3,19996.4,39286,33817,128990.0,16206.80526280706,101.19,18.8,38.8,11.3,-3.8,-5.0,2.5,2015-09-30,47.62,11.146363636363636,15.260416666666666,32361.0,6955.448,10.541818181818181,7.18413491057078
2345884.9,19882.7,38810,31875,128990.0,16206.80526280706,101.09,4.9,27.5,7.5,-2.5,-6.3,3.8,2015-10-31,48.43,11.14090909090909,15.84010152284264,32052.5,6979.189,10.296363636363637,7.18413491057078
2426722.0,20155.9,38811,31127,128990.0,16206.80526280706,100.31,-11.3,33.8,0.0,12.5,10.0,11.3,2015-11-30,44.27,11.425,16.443444730077122,32161.0,7119.134,10.528571428571428,7.18413491057078
2632434.6,24173.3,38690,30514,128990.0,16206.80526280706,100.19,17.5,29.3,13.3,14.7,14.7,2.7,2015-12-31,38.01,11.066521739130435,16.714285714285715,32745.0,7160.043,10.305652173913044,7.18413491057078
2132567.3,19724.7,38809,30387,134217.0,18669.62881286507,100.65,-53.1,17.3,-29.3,18.7,18.7,5.3,2016-01-31,30.7,11.017333333333333,15.74,35179.7,7307.611000000001,9.90047619047619,6.978310291923256
2197716.6,20496.8,39522,30237,134217.0,18669.62881286507,100.58,32.0,12.0,5.3,37.3,32.0,0.0,2016-02-29,32.18,10.8425,14.74,33966.5,7272.7919999999995,9.507619047619048,6.978310291923256
2226215.5,20593.8,39952,30025,134217.0,18669.62881286507,100.49,41.5,12.0,21.3,34.7,30.7,1.3,2016-03-31,38.21,10.94047619047619,14.5987,34309.6,7239.115,9.694347826086956,6.978310291923256
2269022.0,20361.7,40097,29940,134217.0,18669.62881286507,101.22,13.6,16.7,15.4,35.9,33.3,0.0,2016-04-30,41.58,10.732857142857142,13.6,34689.4,7265.907,9.577142857142857,6.978310291923256
2291216.7,21280.9,40169,29961,134217.0,18669.62881286507,100.34,-1.7,24.4,3.8,32.1,29.5,1.3,2016-05-31,46.74,11.063157894736841,14.1881,35105.5,7299.487,9.728181818181817,6.978310291923256
2247685.9,22567.5,40196,29953,134217.0,18669.62881286507,100.49,-1.6,25.6,16.7,34.6,29.5,0.0,2016-06-30,48.25,10.639047619047618,14.2875,35642.9,7261.743,9.532272727272726,6.978310291923256
2316380.2,21381.1,39769,30030,134217.0,18669.62881286507,100.59,9.8,7.7,7.7,21.8,19.2,2.6,2016-07-31,44.95,10.37904761904762,12.5623,35856.9,7363.156,9.191428571428572,6.978310291923256
2389942.5,20798.8,39633,30078,134217.0,18669.62881286507,100.31,0.0,17.9,16.7,28.2,29.5,0.0,2016-08-31,45.84,10.339565217391305,14.2065,36031.7,7431.191,9.01695652173913,6.978310291923256
2440569.1,21233.4,39314,30162,134217.0,18669.62881286507,100.05,9.8,3.8,15.4,20.5,16.7,0.0,2016-09-30,46.57,10.238636363636363,12.3462,36169.6,7345.051,9.001363636363637,6.978310291923256
2499092.3,20914.3,39341,30195,134217.0,18669.62881286507,100.47,-3.3,39.2,16.5,27.8,24.1,1.3,2016-10-31,49.52,10.323333333333332,13.677378,36148.8,7383.563,8.895714285714286,6.978310291923256
2712120.1,21359.3,39415,30326,134217.0,18669.62881286507,100.37,-17.5,36.3,10.0,32.5,26.3,2.5,2016-11-30,44.73,10.017142857142856,12.3526,36051.0,7422.921,8.530909090909091,6.978310291923256
2734403.3,27119.7,39730,30461,134217.0,18669.62881286507,101.1,16.1,27.5,22.5,28.8,25.0,1.3,2016-12-31,53.31,10.160454545454545,11.4855,36433.0,7602.353,8.514090909090909,6.978310291923256
2263970.2,19820.33116097911,39623,30465,139879.0,19366.726753886756,100.36,-43.8,25.3,3.6,18.1,14.5,3.6,2017-01-31,54.58,10.114117647058823,12.8791,38418.0,8003.455,8.956363636363635,6.571441984914022
2284560.0,20142.248813636106,39504,34875,139879.0,19366.726753886756,100.25,10.0,43.4,21.7,34.9,28.9,15.7,2017-02-28,54.87,10.14111111111111,11.162068965517241,38016.8,8073.9,8.928,6.571441984914022
1383840.6,20690.585846079342,39355,30227,139879.0,19366.726753886756,100.43,42.9,34.9,39.5,51.2,46.5,4.7,2017-03-31,51.59,9.897727272727273,10.959,38462.3,8164.026,8.403478260869566,6.571441984914022
1380404.0,21187.92795590055,39180,30476,139879.0,19366.726753886756,100.5,-2.7,25.0,21.9,35.4,29.2,4.2,2017-04-30,52.31,9.5765,10.2704,38555.2,8308.139,8.2005,6.571441984914022
1309297.3,21219.35084017544,39209,30711,139879.0,19366.726753886756,99.96,-5.5,15.6,17.7,36.5,30.2,4.2,2017-05-31,50.33,9.1345,10.3398,38663.8,8318.296,8.04,6.571441984914022
1126233.1,22361.826869844477,39321,30990,139879.0,19366.726753886756,99.96,3.9,7.3,28.1,36.5,30.2,6.3,2017-06-30,46.37,9.109047619047619,10.6924,39222.9,8480.426,7.963181818181818,6.571441984914022
1121499.2,22137.767662245205,39381,31460,139879.0,19366.726753886756,100.27,0.0,15.5,9.3,38.1,34.0,1.0,2017-07-31,48.48,8.947619047619048,9.527,39623.1,8469.1,7.747619047619047,6.571441984914022
1115467.3,20980.18066812524,39408,31911,139879.0,19366.726753886756,100.4,17.3,7.2,33.0,23.7,19.6,1.0,2017-08-31,51.7,8.536521739130436,9.5559,39275.9,8602.781,7.55,6.571441984914022
1120988.2,22515.342153146325,39287,32356,139879.0,19366.726753886756,100.27,-3.8,4.1,19.6,26.8,21.6,0.0,2017-09-30,56.15,8.373809523809523,9.85,39419.3,8740.747,7.454285714285714,6.571441984914022
1145486.2,22328.202438697932,39374,32895,139879.0,19366.726753886756,100.23,24.0,12.4,27.8,32.0,25.8,0.0,2017-10-31,57.51,8.043181818181818,8.6866,39571.0,8881.996,7.167727272727273,6.571441984914022
1110725.0,23352.42508211728,39505,33421,139879.0,19366.726753886756,100.12,-17.3,6.2,4.1,20.6,18.6,1.0,2017-11-30,62.71,8.014285714285714,8.7425,39667.5,8996.625,6.662727272727273,6.571441984914022
1146076.3,29498.84216512671,38122,33941,139879.0,19366.726753886756,100.09,1.4,1.0,19.6,37.1,39.2,1.0,2017-12-31,64.37,7.729523809523809,8.8793,40114.4,9137.26118630712,6.580952380952381,6.571441984914022
1198741.2,23826.37486142055,37529,34563,143224.0,19952.701772558685,99.83,-18.8,1.0,2.1,28.1,28.1,2.1,2018-01-31,69.08,7.087647058823529,8.4402,42442.2,7247.124,6.2004347826086965,6.1464119426629304
1513908.8,25161.41247645243,37423,34875,143224.0,19952.701772558685,100.12,0.0,7.3,14.6,36.5,37.5,2.1,2018-02-28,65.32,7.145263157894736,8.4687,41597.5,8660.537,6.548,6.1464119426629304
1515998.0,25142.693164837783,37313,35310,143224.0,19952.701772558685,100.05,23.2,4.1,32.0,40.2,40.2,1.0,2018-03-31,66.02,7.1465000000000005,7.8145,42045.5,8778.0903,6.571363636363636,6.1464119426629304
1580644.5,25679.492440286987,37087,35909,143224.0,19952.701772558685,100.12,-2.5,7.2,17.5,28.9,28.9,0.0,2018-04-30,72.11,7.002857142857143,8.5564,42377.0,8675.751,6.799047619047619,6.1464119426629304
1460398.7,25441.063668690294,32093,35462,143224.0,19952.701772558685,100.08,6.7,6.1,15.2,35.4,35.4,1.0,2018-05-31,76.98,6.9455,9.8368,43122.0,8733.564,6.89,6.1464119426629304
