paid_services,debt_firms,inflation,fm_changes_volume,fm_changes_costs,fm_changes_demand,fm_demand_exp,fm_price_exp,Date,Brent,MIACR,Infl_exp,M2,obligates
36302162.3,1636293,100.25,-5.0,33.1,-6.5,5.8,16.1,2016-11-30,44.73,10.017142857142856,12.3526,36051.0,8.530909090909091
39146288.7,1491729,100.12,12.8,42.5,4.5,-7.8,21.8,2016-12-31,53.31,10.160454545454545,11.4855,36433.0,8.514090909090909
36357620.5,1494027,100.43,-23.4,18.4,-15.5,7.7,5.5,2017-01-31,54.58,10.114117647058823,12.8791,38418.0,8.956363636363635
36039419.6,1488682,100.28,-12.1,20.8,-12.0,14.4,7.7,2017-02-28,54.87,10.14111111111111,11.162068965517241,38016.8,8.928
44058748.5,1511784,100.29,3.0,25.0,-9.1,7.5,6.8,2017-03-31,51.59,9.897727272727273,10.959,38462.3,8.403478260869566
42449822.4,1546896,100.27,-9.7,12.0,-10.2,11.8,8.7,2017-04-30,52.31,9.5765,10.2704,38555.2,8.2005
46111531.0,1615657,100.34,-4.9,9.2,1.5,19.4,7.2,2017-05-31,50.33,9.1345,10.3398,38663.8,8.04
45565974.0,1604111,100.23,-7.5,13.5,-6.7,14.9,8.1,2017-06-30,46.37,9.109047619047619,10.6924,39222.9,7.963181818181818
47971876.9,1633325,100.17,-23.6,15.1,-10.1,21.9,4.7,2017-07-31,48.48,8.947619047619048,9.527,39623.1,7.747619047619047
48155208.3,1632382,100.22,1.4,14.8,0.7,11.8,6.3,2017-08-31,51.7,8.536521739130436,9.5559,39275.9,7.55
46368846.1,1619756,100.21,0.0,12.0,-3.9,15.6,9.6,2017-09-30,56.15,8.373809523809523,9.85,39419.3,7.454285714285714
43199563.2,1615679,100.11,4.1,22.8,-3.4,10.3,12.2,2017-10-31,57.51,8.043181818181818,8.6866,39571.0,7.167727272727273
43509163.1,1546842,100.02,-7.2,20.9,-6.5,-0.7,15.0,2017-11-30,62.71,8.014285714285714,8.7425,39667.5,6.662727272727273
44642414.7,1618747,100.05,12.4,29.7,1.3,-1.3,24.0,2017-12-31,64.37,7.729523809523809,8.8793,40114.4,6.580952380952381
46433212.4,1688252,100.27,-28.8,17.8,-22.2,18.9,13.4,2018-01-31,69.08,7.087647058823529,8.4402,42442.2,6.2004347826086965
48958742.8,1686724,100.2,-3.3,8.4,-7.1,21.9,10.3,2018-02-28,65.32,7.145263157894736,8.4687,41597.5,6.548
46800259.4,1731776,100.27,19.2,14.9,8.7,26.4,12.9,2018-03-31,66.02,7.1465000000000005,7.8145,42045.5,6.571363636363636
45542403.3,1760934,100.4,7.2,13.3,2.2,14.5,12.2,2018-04-30,72.11,7.002857142857143,8.5564,42377.0,6.799047619047619
48764075.7,1727570,100.21,4.1,7.5,3.5,14.7,5.9,2018-05-31,76.98,6.9455,9.8368,43122.0,6.89
48119474.4,1722183,100.4,2.0,13.3,-4.6,17.5,16.1,2018-06-30,74.41,7.0215000000000005,9.6818,43257.4,7.356666666666667
49277765.2,1766896,100.2,-1.3,15.6,-4.0,13.8,14.6,2018-07-31,74.25,7.089545454545455,9.9011,44126.7,7.568181818181818
50077946.6,1810376,100.18,2.6,14.0,2.0,13.2,16.1,2018-08-31,72.53,7.027826086956521,10.0697,43910.3,7.532608695652174
46571262.9,1851748,100.41,4.7,14.7,-3.4,10.2,13.5,2018-09-30,78.89,7.148999999999999,9.3386,44369.1,7.7090000000000005
45339944.2,1853676,100.36,9.3,20.1,-6.5,7.8,16.1,2018-10-31,81.03,7.267391304347826,9.8309,44254.7,7.764782608695652
46156209.6,1903851,100.2,4.5,20.3,-1.9,-0.6,21.3,2018-11-30,64.75,7.2509523809523815,10.2363,44218.4,7.582272727272727
47298736.7,1941771,100.42,7.3,23.6,4.1,0.7,24.5,2018-12-31,57.36,7.492380952380953,10.3632,44891.6,7.614285714285715
48607213.8,1934676,100.61,-17.1,18.4,-8.6,11.5,19.7,2019-01-31,59.41,7.645294117647059,10.1363,47109.3,7.45695652173913
51380803.4,1972429,100.2,3.9,13.7,-3.2,23.4,26.7,2019-02-28,63.96,7.5905000000000005,9.1406,45721.2,7.555
47785493.0,2012568,100.31,9.803921568627448,20.261437908496703,4.51612903225806,22.5806451612903,23.913043478260896,2019-03-31,66.14,7.676,9.39,46212.6,7.310476190476191
46458986.6,1992351,100.37,0.6451612903225811,9.677419354838712,1.26582278481013,15.0537634408602,21.7391304347826,2019-04-30,71.23,7.745454545454546,9.2639,46141.2,7.115454545454545
46296923.1,1993809,100.53,-3.2,14.7,-0.6,21.0,26.9,2019-05-31,71.32,7.7155555555555555,9.4292,46435.9,6.882608695652174
30483877.9,2001692,100.32,0.6,19.9,-7.2,22.2,20.0,2019-06-30,64.22,7.576842105263158,9.3712,46735.3,6.7909999999999995
30291131.1,2002424,100.25,-3.82165605095541,12.837837837837798,-6.918238993710689,20.952380952381,19.1919191919192,2019-07-31,63.92,7.320434782608696,9.1104,47349.4,6.565652173913043
32422344.4,2019973,99.79,-1.25786163522013,18.238993710691798,-5.0,19.6078431372549,16.8316831683168,2019-08-31,59.04,7.132272727272727,8.8941,47351.0,6.056363636363637
36388345.9,2031346,100.35,-1.81818181818182,24.7706422018349,-6.5789473684210495,3.0674846625766903,13.75,2019-09-30,62.83,6.855714285714286,8.6122,47584.1,5.792857142857143
39328389.3,1985514,100.2,0.0,6.57276995305164,-5.14018691588785,19.1919191919192,16.8316831683168,2019-10-31,59.71,6.789999999999999,8.2566,48266.8,5.475652173913043
41367461.3,2073577,100.13,-8.08080808080808,21.7171717171717,-13.9423076923077,4.195804195804199,22.6950354609929,2019-11-30,63.21,6.457000000000001,9.0219,48082.4,5.349523809523809
42176765.8,2037553,100.25,1.02564102564103,20.512820512820497,-9.803921568627448,4.63576158940397,25.503355704698002,2019-12-31,67.31,6.151363636363637,8.2594,49195.3,5.890909090909091
42864495.7,1970908,100.08,-27.179487179487197,8.415841584158422,-21.1822660098522,27.1317829457364,24.6153846153846,2020-01-31,63.65,6.038823529411765,7.9343,51660.3,5.826086956521739
46237847.6,1949361,99.87,-8.93854748603352,14.438502673796801,-14.6067415730337,-3.3333333333333295,25.0,2020-02-29,55.66,5.938421052631579,7.8881,50622.9,5.011
46109226.1,1982137,100.7,-38.75,25.3012048192771,-32.142857142857096,-53.658536585365894,25.0,2020-03-31,32.01,5.79421052631579,7.9881,51314.2,4.376818181818182
48152325.0,2028371,100.48,-54.4,36.956521739130395,-48.4848484848485,-21.951219512195095,26.984126984127002,2020-04-30,18.38,5.994736842105263,8.2881,52327.0,4.233181818181818
52809326.6,2023735,100.08,-28.846153846153797,21.830985915493,-28.8732394366197,0.900900900900901,17.9245283018868,2020-05-31,29.38,5.468823529411765,8.4881,52951.7,4.2195238095238095
53464031.2,1992058,100.25,-7.936507936507939,24.637681159420303,-12.1212121212121,25.773195876288696,10.6382978723404,2020-06-30,40.27,4.994,8.5881,53068.0,4.210454545454545
53624080.3,2032452,100.38,-2.8169014084506996,23.3333333333333,-0.699300699300699,12.962962962963,12.389380530973499,2020-07-31,43.24,4.2290909090909095,8.8231,54392.6,4.293478260869565
56173130.2,2020818,100.31,-5.36912751677852,17.6470588235294,-2.72108843537415,11.0091743119266,19.2982456140351,2020-08-31,44.74,4.155238095238095,8.9478,54687.4,4.355238095238095
51934460.5,2047312,100.42,-15.3409090909091,21.7391304347826,-12.834224598930499,5.22875816993464,18.0,2020-09-30,40.91,4.165,9.668,55294.2,4.368181818181818
51584734.2,2097533,100.43,-13.903743315507999,28.7878787878788,-18.5929648241206,-5.32544378698225,23.4567901234568,2020-10-31,40.19,4.174090909090909,10.1207,56023.9,4.283636363636363
52126037.7,2192970,100.35,-13.836477987421398,18.452380952381,-16.9811320754717,-12.5984251968504,21.7741935483871,2020-11-30,42.69,4.061999999999999,11.507,55871.6,4.588571428571429
54434753.9,2152968,100.16,0.0,29.310344827586196,-2.2598870056497202,-7.9710144927536195,26.950354609929096,2020-12-31,49.99,4.171304347826087,10.4836,56122.6,5.043478260869565
55531999.6,2058002,100.4,-28.089887640449398,19.5652173913043,-18.918918918918898,13.4146341463415,25.0,2021-01-31,54.77,4.306,9.8636,58652.1,5.301428571428572
58968637.2,2058134,100.63,6.01092896174863,29.569892473118298,-8.46560846560847,22.9411764705882,27.0718232044199,2021-02-28,62.28,4.057894736842105,10.0714,57598.4,5.6375
55541772.7,2055920,101.09,5.6994818652849695,33.505154639175295,3.01507537688442,21.0526315789474,30.0,2021-03-31,65.41,4.222272727272728,11.879,58178.2,6.19
54378245.4,2093788,100.46,11.0,26.108374384236498,5.1282051282051295,23.5632183908046,25.0,2021-04-30,64.81,4.514545454545455,11.3279,58261.6,6.540454545454545
59499890.4,2135053,101.08,2.60416666666667,30.7692307692308,-1.60427807486631,9.142857142857139,25.146198830409396,2021-05-31,68.53,4.791052631578947,11.9136,59206.3,6.611428571428571
59190525.3,2147914,100.98,2.80898876404494,21.6666666666667,-1.6483516483516498,9.815950920245399,16.766467065868298,2021-06-30,73.16,5.1033333333333335,13.3997,59194.1,6.965454545454546
60271028.3,2210365,99.94,-8.02139037433155,27.979274611399,-9.326424870466319,11.494252873563198,21.857923497267798,2021-07-31,75.17,5.759545454545454,12.4946,59583.9,7.621363636363636
62277521.2,2261712,100.57,1.55440414507772,36.453201970443295,-2.9411764705882404,16.243654822335,19.0,2021-08-31,70.75,6.297272727272727,12.3028,59379.7,8.428636363636365
58401062.1,2377760,100.63,-0.9950248756218911,32.3671497584541,-0.966183574879227,12.1951219512195,18.446601941747595,2021-09-30,74.49,6.569090909090909,13.6222,59816.9,8.288181818181819
59239583.7,2476420,100.83,-8.12182741116751,30.097087378640797,-8.7378640776699,13.3333333333333,23.3502538071066,2021-10-31,83.54,6.809523809523809,13.4727,60606.2,9.520000000000001
