,Date,infl_rus,MIACR,Infl_exp,M2,Brent,ibk
24,2016-01-31,0.8199999999999932,11.017333333333333,15.74,35179.7,30.7,-1.94213957217076
25,2016-02-29,0.6599999999999966,10.8425,14.74,33966.5,32.18,-2.29936252236723
26,2016-03-31,0.6200000000000045,10.94047619047619,14.5987,34309.6,38.21,-0.0770573002053823
27,2016-04-30,0.5,10.732857142857142,13.6,34689.4,41.58,-1.33631941711508
28,2016-05-31,0.45000000000000284,11.063157894736841,14.1881,35105.5,46.74,-0.432405754979357
29,2016-06-30,0.4099999999999966,10.639047619047618,14.2875,35642.9,48.25,-0.367775155756988
30,2016-07-31,0.3400000000000034,10.37904761904762,12.5623,35856.9,44.95,-0.481740655409936
31,2016-08-31,0.4000000000000057,10.339565217391305,14.2065,36031.7,45.84,0.0416249555641741
32,2016-09-30,0.5100000000000051,10.238636363636363,12.3462,36169.6,46.57,2.01927969036777
33,2016-10-31,0.39000000000000057,10.323333333333332,13.677378,36148.8,49.52,2.49337867203559
34,2016-11-30,0.37999999999999545,10.017142857142856,12.3526,36051.0,44.73,1.43586327792698
35,2016-12-31,0.3299999999999983,10.160454545454545,11.4855,36433.0,53.31,3.01223929482046
36,2017-01-31,0.35999999999999943,10.114117647058823,12.8791,38418.0,54.58,2.39870905920918
37,2017-02-28,0.1700000000000017,10.14111111111111,11.162068965517241,38016.8,54.87,2.46308559694896
38,2017-03-31,0.15000000000000568,9.897727272727273,10.959,38462.3,51.59,0.377269989455414
39,2017-04-30,0.15000000000000568,9.5765,10.2704,38555.2,52.31,3.06199063691065
40,2017-05-31,0.12000000000000455,9.1345,10.3398,38663.8,50.33,0.847039143619099
41,2017-06-30,0.10999999999999943,9.109047619047619,10.6924,39222.9,46.37,3.16244001790648
42,2017-07-31,0.12999999999999545,8.947619047619048,9.527,39623.1,48.48,2.1071048236096
43,2017-08-31,0.14000000000000057,8.536521739130436,9.5559,39275.9,51.7,1.76708574545935
44,2017-09-30,0.3100000000000023,8.373809523809523,9.85,39419.3,56.15,3.04783492931293
45,2017-10-31,0.14000000000000057,8.043181818181818,8.6866,39571.0,57.51,3.29341978350985
46,2017-11-30,0.15000000000000568,8.014285714285714,8.7425,39667.5,62.71,4.16932927597651
47,2017-12-31,0.1700000000000017,7.729523809523809,8.8793,40114.4,64.37,4.45363959980833
48,2018-01-31,0.20000000000000284,7.087647058823529,8.4402,42442.2,69.08,3.28606093084269
49,2018-02-28,0.10999999999999943,7.145263157894736,8.4687,41597.5,65.32,1.73892340641825
50,2018-03-31,0.10999999999999943,7.1465000000000005,7.8145,42045.5,66.02,2.04571389976101
51,2018-04-30,0.25,7.002857142857143,8.5564,42377.0,72.11,3.66793156209624
52,2018-05-31,0.21999999999999886,6.9455,9.8368,43122.0,76.98,3.05033134468522
53,2018-06-30,0.3400000000000034,7.0215000000000005,9.6818,43257.4,74.41,3.40687828845293
54,2018-07-31,0.28000000000000114,7.089545454545455,9.9011,44126.7,74.25,1.04196201820474
55,2018-08-31,0.3400000000000034,7.027826086956521,10.0697,43910.3,72.53,0.82298198145844
56,2018-09-30,0.45999999999999375,7.148999999999999,9.3386,44369.1,78.89,1.23219804571374
57,2018-10-31,0.4300000000000068,7.267391304347826,9.8309,44254.7,81.03,1.69332297417245
58,2018-11-30,0.4200000000000017,7.2509523809523815,10.2363,44218.4,64.75,4.46425238777294
59,2018-12-31,0.46999999999999886,7.492380952380953,10.3632,44891.6,57.36,3.57254323216713
