fm_ibk,Brent,MIACR,Infl_exp,obligates,M2,money_income,trade_turnover,debt_firms,Компонента валютного канала,Компонента предложения,Компонента спроса,Компонента ожидания,Компонента денежного рынка,Компонента рыночной конъюнктуры,inflation
3.4,0.28999999999999915,10.14111111111111,11.16206896551724,-0.02836363636363437,0.01895571596883805,-0.014020857050276447,2.1333686246904904e-05,-0.019484911638921076,-0.47542918785300464,-0.1972756837693701,-0.18903860503128006,-2.0849063376503425,0.7251521943174566,2.2234595263607746,1.0012999999999999
15.7,-3.279999999999994,9.897727272727272,10.959,-0.5245217391304351,0.00758380531275904,0.03772224704152194,-0.02260666531285338,-0.020293279889429527,0.2309222523757675,-0.6560815430950112,0.8272640362610527,0.4037226240527569,-0.3151147204130044,0.21511627557024726,1.0026000000000002
9.3,0.7199999999999989,9.5765,10.2704,-0.20297826086956583,0.004586135005482106,-0.010042707845677512,0.008239818453333214,0.019803243457868547,-0.07214795226545576,0.023552246839071863,0.30937924000929845,-0.40331075398526145,-0.7084082354610287,0.12578053170882764,1.0012
10.6,-1.980000000000004,9.1345,10.3398,-0.16050000000000075,-0.0027215145291652476,-0.0007830504272430261,-0.0015261415557468183,-0.011626745878656308,-0.468894658616725,-0.3241744293981524,0.839715978598239,-0.5103045445772847,1.0838919740181427,-1.6650504389299916,0.9995
2.9,-3.960000000000001,9.10904761904762,10.6924,-0.07681818181818123,0.011998844774179673,0.011519514937489816,-0.002937490943226706,-0.049372339148821,-1.153677756185192,-0.5215480723201782,-0.5479426017570569,-1.111190290543834,-0.27158768274910494,0.34441563026617494,1.0005
11.4,2.1099999999999994,8.947619047619048,9.527,-0.21556277056277118,0.005103229953331123,0.019419297622429,0.0031294712396618962,0.016688578136932364,-0.32687921182240615,-1.519249993051304,0.05966164805143237,0.2925960116600239,-0.5614398314594203,-0.04401123665222605,1.0004
9.3,3.220000000000006,8.536521739130436,9.5559,-0.19761904761904692,-9.557372484181315e-05,-0.014261442580389527,-0.021174136346663985,0.012874976433726815,0.11550585400777791,-1.0395594117571412,1.1732086868447449,1.2626212579041192,-0.9671618680851056,0.024874576792799426,0.9995
-0.1,4.449999999999996,8.373809523809523,9.85,-0.09571428571428608,0.004893498523546924,0.016278177221229484,0.026667534587344832,-0.00255652686507446,-0.8194060272384749,-0.3471337086798376,-0.6031564559490722,-0.038679320854223175,1.2625770983450184,0.8804847727930476,1.0014
2.1,1.3599999999999994,8.043181818181818,8.6866,-0.2865584415584408,0.010698412806064539,-0.012748036156201792,0.012532336539083033,-0.030601254399952538,0.4381552223537338,0.26373144162431966,-0.21427735100952916,-0.09067430051789402,-0.5222127922333484,-1.396940156052239,1.0021
-8.3,5.200000000000003,8.014285714285714,8.7425,-0.5049999999999999,0.009868560250321678,0.011921806328201612,0.0024719744078591788,-0.006525779858447933,-1.0320095997245564,-0.9092084021250838,0.6611129662969655,-0.4703340990349073,-0.822446598664554,-0.9973726159214374,1.0021
