fm_ibk,Brent,MIACR,Infl_exp,obligates,M2,money_income,trade_turnover,debt_firms,Компонента денежного рынка,Компонента спроса,Компонента рыночной конъюнктуры,Компонента ожидания,Компонента валютного канала,Компонента предложения,inflation
18.2,2.1400000000000006,7.267391304347826,9.8309,0.05578260869565277,-0.002272927878314235,0.007339716086050885,-0.007036810522315307,0.01712609175439539,-1.1173586336859922,0.5743194604343985,-0.16975471119591976,0.0007967797706151009,-0.9973635079604111,0.09418755431542905,1.0059
14.6,-16.28,7.250952380952381,10.2363,-0.18250988142292535,0.0034495017927529403,0.008955237856744347,-0.0028503127223551417,-0.023335817010980975,0.9464367949934082,0.14722642253016777,-0.2704690740529578,-0.05913336768765023,0.45088725899277904,0.1647016253019105,1.0036
12.5,-7.390000000000001,7.492380952380953,10.3632,0.032012987012987715,0.0053892287229455604,0.006335876434608423,0.006305474442658721,-0.06959043387011477,0.6238744609327157,0.4514233273819212,0.5904163159971839,-0.6238061645075526,-0.5555400723640862,-0.7929583364538076,1.0034
12.5,2.049999999999997,7.645294117647059,10.1363,-0.15732919254658473,0.002985768339261341,-0.01503552978421574,-0.019381934983968563,-0.053926432463923035,-1.737355634788746,-2.4821764835780837,0.570763480462088,0.7451976742196577,-0.8906564717216593,-0.7321985021738283,1.0048000000000001
18.1,4.550000000000004,7.5905,9.1406,0.09804347826086968,-0.00411767702146193,-0.007643533423957294,-0.007543991803050432,-0.013234743798630433,-4.648606564149918,1.4808097253455685,-0.7451502035925958,-0.9542702479820918,0.1627037689218753,-1.0949072188697475,1.0033
23.1,2.1799999999999997,7.676,9.39,-0.24452380952380892,0.004782722228405589,-0.004324612192741384,-0.0033623397779756203,-0.014368075071159225,-0.09773801411564928,-0.4947877126255847,-3.488981864959762,-0.6980020527125096,-0.3669058568701228,0.7677110120580521,1.0049
15.7620189791155,5.090000000000003,7.745454545454546,9.2639,-0.19502164502164554,-0.0037147398563046607,0.026762352843652693,0.08935590499634927,-0.01955300550984518,1.038125604179443,-1.6316458869810029,-0.8416124659381365,-0.3755983216931532,-1.3625472564249044,-0.8405072197085464,1.0007
14.0,0.0899999999999892,7.7155555555555555,9.4292,-0.23284584980237089,0.002897066907010526,0.013202177609805688,-0.027587098848606217,-0.000582100506649752,1.047790161777925,-1.2981482542621152,-0.5543909443149991,-0.6990904000544761,-0.6949299857459421,-0.7986914599781997,1.0046
17.9,-7.099999999999994,7.576842105263158,9.3712,-0.09160869565217489,0.006504884109730824,-0.017098484824948912,-0.035030176177443195,-0.03110983888792518,0.8939448021632871,0.5329856407546962,-1.3125885478719803,-1.853466742778133,-0.6976662375310317,-0.44811818500086403,1.0027
22.968278681573096,-0.29999999999999716,7.320434782608696,9.1104,-0.22534782608695636,0.0025032756501577325,0.0077170128940782234,-0.018397062641998474,-0.009630857306841989,0.21780924961826736,-2.7147752852571334,0.5704964720177084,0.29234773284956256,-1.1725950785428383,-0.5105561855846736,1.003
16.1309609296023,-4.880000000000003,7.132272727272727,8.8941,-0.5092885375494065,0.00644980312364396,0.0086183712898098,-0.008286222624640516,0.003785256711411833,-0.33431281704155524,0.4027894869363777,-0.93348022311298,-1.9250453386560198,0.4331208228366453,-0.9561323681321343,1.0004
14.0790816315672,3.789999999999999,6.855714285714286,8.6122,-0.2635064935064939,0.004013400422900659,-0.005148383246480037,0.004177953424139957,0.005613904184215812,-2.4282916400261523,0.44651388273848336,0.2629732972694898,-0.14828136004074066,-2.046679840263049,0.9187066736870806,1.0009000000000001
